"A508";"Almenara";"MG";"-16.166773";"-40.687756";189.11
"A447";"Belmonte";"BA";"-16.088049";"-39.215389";89.67
"A427";"Porto Seguro";"BA";"-16.388977";"-39.182389";86.36
"A933";"Itiquira";"MT";"-17.175051";"-54.501690";593.12
"A909";"Alto Araguaia";"MT";"-17.3394";"-53.2241";753.00
"A934";"Alto Taquari";"MT";"-17.841011";"-53.289474";862.42
"A026";"Mineiros";"GO";"-17.569319";"-52.596483";712.83
"A016";"Jatai";"GO";"-17.923622";"-51.717467";670.08
"A025";"Rio Verde";"GO";"-17.785303";"-50.964869";780.11
"A003";"Morrinhos";"GO";"-17.745066";"-49.101698";751.09
"A033";"Pires do Rio";"GO";"-17.304153";"-48.284131";757.27
"A546";"Guarda-Mor";"MG";"-17.561349";"-47.199251";997.01
"A553";"JoÃ£o Pinheiro";"MG";"-17.784770";"-46.119394";877.05
"A545";"Pirapora";"MG";"-17.258064";"-44.835600";505.32
"A541";"Capelinha";"MG";"-17.705504";"-42.389256";932.06
"A527";"Teofilo Otoni";"MG";"-17.892840";"-41.515423";467.17
"A522";"Serra dos AimorÃ©s";"MG";"-17.798799";"-40.249933";211.97
"A405";"Caravelas";"BA";"-17.739413";"-39.258617";6.05
"A422";"Abrolhos";"BA";"-17.963016";"-38.703288";20.93
"A724";"CorumbÃ¡";"MS";"-18.99667";"-57.6375";111.73
"A717";"Nhumirim";"MS";"-18.988681";"-56.622868";102.26
"A761";"Sonora";"MS";"-17.635277";"-54.760470";495.25
"A720";"Coxim";"MS";"-18.512146";"-54.736116";251.48
"A760";"Costa Rica";"MS";"-18.492665";"-53.171261";727.34
"A730";"ChapadÃ£o do Sul";"MS";"-18.802187";"-52.602620";820.82
"A011";"SÃ£o SimÃ£o";"GO";"-18.969142";"-50.633449";492.45
"A035";"Itumbiara";"GO";"-18.409761";"-49.192061";491.17
"A512";"Ituitaba";"MG";"-18.952907";"-49.525072";540.08
"A507";"Uberlandia";"MG";"-18.917072";"-48.255657";874.77
"A034";"CatalÃ£o";"GO";"-18.154779";"-47.927614";900.72
"A523";"Patrocionio";"MG";"-18.996684";"-46.985935";978.11
"A528";"Tres Marias";"MG";"-18.200855";"-45.459836";931.01
"A538";"Curvelo";"MG";"-18.747711";"-44.453785";669.48
"A537";"Diamantina";"MG";"-18.231052";"-43.648269";1359.25
"A533";"GuanhÃ£es";"MG";"-18.786842";"-42.942921";852.68
"A532";"Governador Valadares";"MG";"-18.830354";"-41.977007";198.24
"A540";"Mantena";"MG";"-18.780620";"-40.986505";254.91
"A623";"Nova Venecia";"ES";"-18.695265";"-40.390572";156.02
"A616";"SÃ£o Mateus";"ES";"-18.676198";"-39.864051";28.66
